Rank,CommentDate,Date,RestaurantName,Comment,Address,StarRating,NumberOfReviews,Style,Price
2,2023-09-16,2023-09-17,Running Goose,"Visited this restaurant based off of a recommendation on Instagram, and needless to say had a very mixed experience.First, the service was very good. The staff was very nice and helpful when describing the menu and some of the more popular items.Secondly, the food was delicious. My friends and I each enjoyed our plates as we ordered everything from the calamari to the chilaquiles and steak.  The short rib in the chilaquiles was super tender and flavorful and I could've eaten bowls of it the remainder of the day.The biggest issue we had while dining was simply the flies that were around due to a lot of the live plants from the environment of the restaurant. So that was a bit of a nuisance when dining and trying to fight off the gnats a little bit during the earlier hours of brunch.Unsure if that's a normal experience, but aside from that definitely recommend the cuisine here.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-16,2023-09-17,Running Goose,"Came here before pantages and what a unique find. You can tell the chef trying to be unique and trying to do things just a bit different.  The warmth and hospitality were wonderful. We ordered a variety of dishes Including Arugala tostada (tasted like a delicious avocado toast), corn tostada (ok), potatoes (yummy but could be crispier), pork belly (deliciously charred), beet quesadilla (wow...who would have guessed), baked Brie (oh my!), and the crème brûlée (very good). The only thing that disappointed me was the pavlova.  One of my ultimate favorite desserts.  I loved  the effort to be unique. It was a deconstructed pavlova with ice cream.  It seemed to be more ice cream than anything and The fruit was very tart. So one bite was  super sweet and the next was so tart my mouth and face literally puckered.  The back patio was quaint and a fun find tucked in Hollywood.  The owner was super sweet making sure everything was ok, telling us to walk to pantages bc parking was cheaper.  This felt much more like a European cafe  where you asked for a check and you can sit and talk to friends all night.  Or even going over to his house for a bbq.  We weren't rushed in anyway.  Would recommend trying.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-15,2023-09-17,Running Goose,We came with friends on a Sunday and just expected more. The dishes had subpar food flavor and was overpriced.,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-12,2023-09-17,Running Goose,Excellent food and service!  I've had 2 meals here.  All plates are meant to be shared.   This is the perfect place to go before a show at the Pantages.  It is within walking distance.,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-10,2023-09-17,Running Goose,"I can't say anything about the food because unfortunately, I didn't make it that far. We came in on a hot summer day and asked the owner/waiter if there was a fan or somewhere with a/c. His reaction was rude, apathetic, and snobby. If he would've answered empathetically we probably would have stayed, but the attitude definitely made us loose our appetite. I felt like he was doing a favor letting us sit at his restaurant. Everyone in the restaurant looked like they were sitting in a sauna. For a nice expensive meal, I don't want to drip all over the table and be talked down to, thank you.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-05,2023-09-17,Running Goose,"Phenomenal. Came for brunch and all the food was amazing. The benedict comes with ham not sliced ham, chunks of ham. I thought it was actually pork belly. So, so good. The brioche toast was like a dessert. The house-made lemonade is perfect: fresh lemon flavor and not too sweet. Service was great, and the outdoor seating area is great. If it were a hotter day, I could see it getting uncomfortably hot on the patio, and they could use some fans out there. Highly recommend for brunch!","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-03,2023-09-17,Running Goose,"Amazing food, my friends and I could not believe how great everything tasted. The service was exceptional and the restaurant itself is a cute hidden gem.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-03,2023-09-17,Running Goose,"From walking in to walking out was phenomenal. Exquisite dining experience, excellent service. The appetizer to dessert was fabulous. The ambience was serene. Can't wait to go back!","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-03,2023-09-17,Running Goose,Great little place in Hollywood.  The pictures of the Duck confit on yelp sold me and I had to try it.  So tasty and the purée was good as well.  Short rib was tasty.  Gambas was a first try for me.  Just the right amount of spice with the shrimp.  And last the Horchata crème brûlée ended the meal perfectly.   Would for sure go back and suggest this place to anyone going to the area.  Great family feel and the service was spot on.  Two thumbs up.,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
2,2023-09-02,2023-09-17,Running Goose,"WOW!!!! THE FOOD IS UNIQUE AND DELICIOUS!!!! I went with my niece, we were both hungry, and ordered 2 corn tortillas, lamb chops, the farmers vegetable which was fried carrots and short ribs. Every single dish was Extraordinary in taste and texture. The best meal I can remember in a very long time, so different in taste. We were full and didn't have room for dessert, which also looked scrumptious!!!My only critique would be better curb appeal. When we walked in I thought maybe I'd made a mistake as the ambiance was lacking but the friendly staff and incredible food made that all a minor foot note. It wouldn't be costly to create an other worldly ambiance. Just some faux leaf trellis panels attached to the wooden 1/2 walls that are throughout and maybe some big ceramic pots and some kind of creative hanging animal art descending from the ceiling. Like hanging globe or wild birds from the ceiling. There's such a diverse culinary experience that creating an atmosphere that draws us in would make it all the more Stellar. But Stellar Running Goose is!!!!","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",$$
3,2023-09-14,2023-09-17,Hangari Kalguksu,"Highly recommend! This is THE place for a filling bowl of knife cut noodles in Koreatown. Handmade noodles in broth with such depth in flavor, each slurp warms your soul and each bowl feels like a snug hug. Perfect after a long day at work! Also loved the barley rice appetizer, 3 types of kimchi, and tteokbokki (spicy rice cakes). Very friendly service and cute interior decor.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-14,2023-09-17,Hangari Kalguksu,"Always hits... such delicious comfort food and always a vibe inside. Highly recommend the chicken kalguksu. Portions are large so you can comfortably split with someone. Sometimes there's a wait, but you get seated relatively quickly and food is always served efficiently. I've only ever gone at night, and parking is valet and $4.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-13,2023-09-17,Hangari Kalguksu,"Fast line, nice servers, great lighting, YUMMY food! This place has the best bossam I've ever eaten. The food is just so delectable even though the price is a little bit much. But I believe the food and the service fits the price so that's why I'm giving it all the stars. The sauces and side dishes included gave the dishes a lot of flavor and we asked for extra bowls and stuff and the staff were very accommodating. Definitely coming back here again if I get the chance!","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-10,2023-09-17,Hangari Kalguksu,"We came early on a Sunday evening, and was able to beat the dinner rush with no wait. I really loved the open seating. The decor was pretty modern yet felt homey. I ordered the chicken kalguksu and was very surprised to see how big the portion was. I'd say it was very worth it at its price. The broth was light and easy to eat, while still being well seasoned. Definitely a super comforting meal. The sides were also really good as well. Service was swift but the attentiveness/care was a bit lacking. For starters, the menus were thrown onto the table as we were being seated. An alarming eyebrow raiser for sure.  It also took awhile for someone to take notice of us. Not a huge issue though. Otherwise, would give a 5/5. I'd come here again to try the bossam.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-10,2023-09-17,Hangari Kalguksu,Service is amazing and price is really reasonable. Meat is really good and there are various options to choose. Really recommended place in k-town!,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-10,2023-09-17,Hangari Kalguksu,OMG!! Tasted like my grandma's homemade kalguksoo!! My grandmother really loved kalguksoo and I wish I brought her to this place. She would have loved it! The chicken kalguksoo broth was so rich and they give you a whole chicken! Their bossam was the best ever!! I dream of this place!!,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-10,2023-09-17,Hangari Kalguksu,"I went with a friend and getting two things was way too much, we definitely should have split one thing. But, we didn't regret it because it was really nice to try multiple things. The sujebi and the noodles were both perfectly cooked and chewy, and both soups had deep flavor and were so good. Generous with the amount of clams and seafood too, which was nice! The ambiance definitely is more of a modern vibe than traditional Korean spots, and service is good but there can be pretty decent lines at peak lunch hours, maybe 30 minutes or more (it really depends). Overall, this place is so good and I love recommending it to others, but it has a good reputation anyway.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-06,2023-09-17,Hangari Kalguksu,The noodles in their kalguksu are the best I'm the area. The place is nice and very clean.,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-05,2023-09-17,Hangari Kalguksu,"One of the best spots in K-town -- I used to frequent this place once a week until the prices went through the roof circa COVID-19.If you haven't tried the hand cut noodles in their Kalguksu, you're missing out - opt for the clam based stew instead of the chicken.5/5 easily.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
3,2023-09-05,2023-09-17,Hangari Kalguksu,"Best korean food I have had. Service was very helpful and kind. While the restaurant was not huge, it was comfortable and neat.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",$$
4,2023-09-16,2023-09-17,L'Antica Pizzeria Da Michele,I would definitely recommend this place. It has a great atmosphere. The owner is a very very nice person and I can't say enough about their food. Whoever has not tried. This place. Hass to give it a try at least once. Guarantee you won't be dissatisfied.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-12,2023-09-17,L'Antica Pizzeria Da Michele,"Everything was great! The ambience was amazing, good service and food was tasty. Definitely recommend","1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-11,2023-09-17,L'Antica Pizzeria Da Michele,Absolutely wonderful! We found this place last night and were able to book a reservation for 5. We were celebrating my partners birthday! The food was outstanding. Very good quality and fair pricing for what it was worth. The service was also great! Our waitress was very kind at attentive. The ambiance of the restaurant was also very comfortable and the lighting was beautiful! We will definitely be back!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-10,2023-09-17,L'Antica Pizzeria Da Michele,Well let's start with the ambiance was pretty awesome we went for dinner last night but we didn't make a reservation since me and hubby didn't know that we need to make a reservation ahead; restaurant look pretty busy but not overcrowded; but as soon we walked in we were greeted by the hostess and we got our table right away by the bar area Wich was great; after like five min our server came and offered drinks and I got just water and my buddy got some lemonade;later he came by to offer some appetizers Wich we choose the zucchini flower Wich we're like just ok and we later ordered the margarita pizza and the pesto with procciucuto and  and after like ten min they all came out .Food was just ok nothing special just a couple of thin crust and flavorless pizzas; definitely not going back and drive almost one hour just to eat that very expensive and tasteless food; I only put one star for the service that's all.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-09,2023-09-17,L'Antica Pizzeria Da Michele,The pizza and food is good but they pump the place full of glade air freshener... makes it hard to eat and breathe. Unfortunately I doubt I will return based on the smell of glade air freshener alone. The piece of pie pizza was amazing though.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-08,2023-09-17,L'Antica Pizzeria Da Michele,Fantastic pizza!Made with Italian flour imported so no uncomfortable feeling the next day!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-07,2023-09-17,L'Antica Pizzeria Da Michele,Love this place! Food has been great. Back patio is wonderful. Service has been good and it good depending on if they are super short which happened once recently. Front patio seating had tons of flying bugs and some bees so that was not good but we def will be back but o love you to sit in back patio!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-07,2023-09-17,L'Antica Pizzeria Da Michele,"Finally was able to make it here even though it was down the street from my place.  The food was incredible, simple but tasteful. The ambiance was very chill and relaxed and I loved the indoor and outdoor option that they give you here. I will say I was obsessed with the pizza that we ordered. The prices were a bit more then I would have wanted to spend on a pizza but that's okay, its worth it for a special occasion. Service to add to this was very straightforward and simple and she recommended all of the best things. I will definitely be back since it was a very lowkey but lovely place to eat.","1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-07,2023-09-17,L'Antica Pizzeria Da Michele,The place was kinda perfect! I have been looking for a good pizza and have been wanting to go back here. It's perhaps my favorite LA pizza spot.The pizzas and the Torta de la Nonna were fantastic. I have been looking for a good pizza and have been wanting to go back here.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
4,2023-09-06,2023-09-17,L'Antica Pizzeria Da Michele,The place was kinda perfect! Nestled away just off Sunset in old Hollywood it was a charming oasis with incredible ambiance. The pizza was perfection (and since they use a double zero Milled Caputo wheat flour even the most gluten sensitive can eat without issue. The pasta is also made in-house and was superb!Highly recommend!!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",$$$
5,2023-09-15,2023-09-17,Republique,The food quality is amazing. The interior was a bit drab...would expect more from the interior design. Pricier than the average place but amazing food quality.,"624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-15,2023-09-17,Republique,The ambiance was fantastic. I have heard of this restaurant for the longest time with many friends offering their recommendations - so when my wife and I finally dined it was an experience that held up to its hype.,"624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-15,2023-09-17,Republique,"Too crowdedVery hipster $$$$Not worth the waitDon't like the seating, high stools, you better be over 5'5"" !","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-14,2023-09-17,Republique,"So many delicious options at this French-inspired brunch experience! The atmosphere is charming with a classic French ambiance, and the pastries are yum-my! The croissants are flaky and buttery, and the brunch menu offers a variety of savory and sweet options. It can get crowded, so be prepared for a wait. I recommend looking at the menu before arriving so that you could order quickly and find a seat.I definitely recommend the potato pancake (it's not a hash brown, it is literally a potato pancake), but I don't think you can go wrong with any menu item.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-14,2023-09-17,Republique,"I'm obsessed with this place!! The food is amazing, it's a gorgeous space and great ambiance. I always take out of town guests here. I've gotten the potato pancake and I think it's the best thing on the menu by far! My friend got the shashouka, and said it was good but the potato pancake is better. Amazing place.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-13,2023-09-17,Republique,"There is almost always a line out the door and onto the sidewalk, and for good reason. The pastries are not only beautiful to look at but beautiful to eat. The restaurant itself is an inviting open space with fun lively staff. I would say the sit down food is alright--expensive for alright food.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-13,2023-09-17,Republique,"Republique in Los Angeles is an exquisite culinary haven. The moment you step inside this grand bakery-restaurant, you're greeted by a tantalizing display of pastries and artisan bread. The menu features a fusion of French and American flavors, and each dish is a masterpiece. The ambiance, set in a historic building, exudes a charming and rustic elegance that adds to the dining experience. Whether you're indulging in a fresh croissant for breakfast or savoring a gourmet dinner, Republique consistently delivers an exceptional culinary journey. It's no wonder this restaurant has become an iconic destination for food enthusiasts in LA.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2021-07-27,2023-09-17,Republique,Nice brunch experience. There's no wow factor everything is very standard but still great food. Love the vibe and interior Design in the restaurant. Very airy and bright.,"624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-12,2023-09-17,Republique,"Great food! We ordered Traditional breakfast, Maine lobster omelette, avocado toast, kimchi fried rice and half baguette.  Everything we had was exceeded our expectations.  Huge thick cut of bacon in traditional breakfast.  Lobster omelette was luxurious and delicious. Avocado toast was too pretty to cut into. Kimchi Fried rice was so tasty when you mix the two sunny side up eggs in.  Baguette with butter and jam brings back memories of Paris!Service was great.  They fill the water, check on you even though the restaurant was busy.Very relaxing atmosphere.  Beautiful place.  You order your food at the counter and prepay.  Then find a table and they will bring the food to your table.  There was a line but moving.  We waited in line for about 20 minutes.  Parking was a bit hard.  The area has some meter parking or free parking but very limited spaces.  Restaurant has valet parking but I didn't see the person.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-11,2023-09-17,Republique,"Posting again because they took my review down. Honestly I used to come here all the time for breakfast meetings and also dinners until I brought my parents for their birthday and there was an ""influencer"" / tourist sitting next to us. She literally recorded the entire meal. When my mom noticed we were being filmed and we asked the waitress to please ask the stranger to put her camera away they said no because we are in a public space. Honestly how rude and gauche. I loved that Republic was woman owned and took over the old la Brea bakery but wow I have literally stopped going since this incident. Wow. Wow. Wow.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
5,2023-09-11,2023-09-17,Republique,"Great food, venue, ambience and staff. The tiny downside is that it can be very busy at times. All in all, 5/5 for me. To quote Schwrzenegger, 'I'll be back!'","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",$$
6,2023-09-16,2023-09-17,HanEuem,Discovered this new Korean spot which is so gooood!! Come with me.Highlights of the menu:1. Braised Wagyu beef back ribs2. Spicy marinated fresh raw crabs3. Korean BBQ lateral cut Angus beef short rib4. Kimchi stew5. White rice with beans,"539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-09-16,2023-09-17,HanEuem,"I've had a lot of Korean food but nothing beats this place. Every single meal we ordered was phenomenal, service was top notch and the server's had wonderful recommendations that complimented our orders even better. We loved all of their spicy food and will 100% be back to try even more. 10/10 would eat again.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-09-16,2023-09-17,HanEuem,HanEuem is a tasty Korean restaurant/gastrointestinal where you can find big platters of delicious Korean foods while grabbing some beer or soju. I came by on a Friday night and place was busy but generally 1-2 tables open so we were able to get seated quickly.The pork belly and octopus is a satisfying dish that's well cooked with covered with a gouchujang sauce laid on top of onion. Goes well with a drink and a side of rice (they only have purple rice here). The seafood pancake was fantastic - good fillings and the batter was seasoned well and I loved the crumbly flaky texture on the outside.Service was solid. Decent ambient though if there's a loud party the sound carry.Valet parking or street. Or h mart,"539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-09-13,2023-09-17,HanEuem,"The restaurant has valet at a reasonable price of only $4. My date made. Our reservation for 6pm and they seated had right away. The waiters know their menu very well and are very strive and patient. The food is a whole experience! I don't think there was anything I didn't like. The ambience there is low light , intimate , tables are small, the restaurant itself is very small but they do have a table for a larger party.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-09-11,2023-09-17,HanEuem,"Their spicy Galbi stew is awesome. I could not help stop eating it even I was really full. Their spicy marinated raw crab is very tasty but its too spicy I could not handle more than 2 pieces. We wanted to try all different kind of Jeons, we asked to a server if we order mixed combination things it comes with little bit of all different Jeons include seafood green onion pancake. He told us yes. But it did not come with that item. :(I still can give 5 stars cuz their spicy galbi stew is the best I ever had. Better than S_N_Dan place.I will come back here for that stew!! Thank you! It was great!","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-08-29,2023-09-17,HanEuem,"Went here with a friend who had never eaten Korean food before. We got a seafood pancake and the mackerel. Both were delicious. The mackerel was cooked well but a bit plain - I didn't want to get anything too crazy or spicy since my friend and I were sharing. The decor is lovely, it was packed full of Korean families. Service was timely and efficient. Wish I could eat here one more time while I still live in Ktown, but I'll have to make a drive and fight for parking next time. Absolutely recommend, great place to take visitors or people new to Korean food.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-08-28,2023-09-17,HanEuem,"After stumbling upon this place on TikTok, I simply had to give it a try - and let me tell you, it went beyond my expectations. The staff was exceptionally kind and attentive, creating an ambiance that felt like a home away from home. Among the highlights, the Wagyu ribs stole the show for me. Their tenderness and exquisite flavor were nothing short of incredible. As for my girlfriend, she opted for the raw spicy marinated crab. While it leaned more toward the spicy side for us, the flavors were undeniably vibrant.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-08-25,2023-09-17,HanEuem,"Visited for a late lunch and had a mixed experience with both the food and service. Our order included the spicy raw crab, braised beef short ribs with cheese, and beer.Starting with the positives, the banchan assortment was delightful. I particularly enjoyed the spicy raw crab, although it was a touch too sauced. It paired well with rice. However, the braised beef short ribs left me disappointed.The first piece I picked up was a rice cake. Just before taking a bite, I noticed a faint sour smell. Despite that, I proceeded, finding the taste alright. Eventually, I realized the odor originated from the melted cheese topping. Unfortunately, the cheese had gone bad, casting a negative shadow over the dish and affecting my overall meal experience.Though the staff was friendly, their lack of attentiveness was noticeable. There was no check-in during the meal, despite our wish for banchan refills, water, and an additional beer. We even had to signal for assistance to order more rice, which should ideally be a standard accompaniment. Additionally, the rice served was dense and lacked fluffiness, further diminishing the experience.It would have been appreciated if the staff inquired about our meal satisfaction, but they were rather quick to present the bill and depart. Hoping for a more well-rounded experience next time.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-08-20,2023-09-17,HanEuem,"Comfort Korean food in Ktown!Came here on the weekend at around 6:30 and only waited for 15 minutes before getting seated. However after us, we saw parties waiting like 30 minutes for a table. The staff are so friendly and quick, we would ask for something and they would quickly give it.The food was good too and price was reasonable. My friend and I were obsessed with the banchan here and ate all of our banchan with nothing left over. We had the kimchi pancake which was cooked with perfect crispyness and softness and the kimchi stew which also came with free servings of rice. The stew was ok but the pancake really stood out for us, try it!","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
6,2023-08-18,2023-09-17,HanEuem,People are incredibly kind. The food is amazing. A real gem in Los Angeles for Korean food. The food is noticeably made with care. May God's peace be on this place. Thank you!!!,"539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",
7,2023-09-15,2023-09-17,Met Him At A Bar,"A cute date spot that I can always really on. The wait staff is alwys very friendly and the cocktails are bright and fresh. It's mostly pasta and pizza here, but both are done very well. I had the Heirloom tomato salad (very fresh), Nonna's meatballs ( the sauce is :chef's kiss:) and the puttanesca (tasty and spicy). I've had the Squid Ink Frutti di mare on a previous visit, and can highly recommend.","801 S La Brea Los Angeles, CA 90036",4.3,653,"Italian, Cocktail Bars",$$
7,2023-09-14,2023-09-17,Met Him At A Bar,I'm giving the two stars because the guy as the host up front was super nice and kept a conversation going with us which was sweet! The service from the lady was horrible. Very nice to other people around us but just didn't like us for some reason. You know when someone thinks you can't pay the bill or even treat you with bad service because of your skin color? That's how we felt and yes I did pay $93.62 for our food !! My sister enjoyed her Alfredo pasta with shrimps but I will not recommend this restaurant to people !!,"801 S La Brea Los Angeles, CA 90036",4.3,653,"Italian, Cocktail Bars",$$
7,2023-09-14,2023-09-17,Met Him At A Bar,One of the best Italian foods I've had specially for the price. The staff are great they are friendly and do have great recommendations. The bruschetta was amazing tasted really fresh as well. The carbonara done to perfection and good portions. The restaurant itself is still having on going renovations but is very nice inside. I have gotten the chance to sit inside and outside and would  recommend inside during the day and night during the night specially on a date.,"801 S La Brea Los Angeles, CA 90036",4.3,653,"Italian, Cocktail Bars",$$
