Rank,CommentDate,Date,RestaurantName,Comment,Address,StarRating,NumberOfReviews,Style,NormalizedRating
2,2023-09-16,2023-09-17,Running Goose,"visited this restaurant based off of a recommendation on instagram, and needless to say had a very mixed experience.first, the service was very good. the staff was very nice and helpful when describing the menu and some of the more popular items.secondly, the food was delicious. my friends and i each enjoyed our plates as we ordered everything from the calamari to the chilaquiles and steak. the short rib in the chilaquiles was super tender and flavorful and i could've eaten bowls of it the remainder of the day.the biggest issue we had while dining was simply the flies that were around due to a lot of the live plants from the environment of the restaurant. so that was a bit of a nuisance when dining and trying to fight off the gnats a little bit during the earlier hours of brunch.unsure if that's a normal experience, but aside from that definitely recommend the cuisine here.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-16,2023-09-17,Running Goose,"came here before pantages and what a unique find. you can tell the chef trying to be unique and trying to do things just a bit different. the warmth and hospitality were wonderful. we ordered a variety of dishes including arugala tostada (tasted like a delicious avocado toast), corn tostada (ok), potatoes (yummy but could be crispier), pork belly (deliciously charred), beet quesadilla (wow...who would have guessed), baked brie (oh my!), and the crème brûlée (very good). the only thing that disappointed me was the pavlova. one of my ultimate favorite desserts. i loved the effort to be unique. it was a deconstructed pavlova with ice cream. it seemed to be more ice cream than anything and the fruit was very tart. so one bite was super sweet and the next was so tart my mouth and face literally puckered. the back patio was quaint and a fun find tucked in hollywood. the owner was super sweet making sure everything was ok, telling us to walk to pantages bc parking was cheaper. this felt much more like a european cafe where you asked for a check and you can sit and talk to friends all night. or even going over to his house for a bbq. we weren't rushed in anyway. would recommend trying.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-15,2023-09-17,Running Goose,we came with friends on a sunday and just expected more. the dishes had subpar food flavor and was overpriced.,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-12,2023-09-17,Running Goose,excellent food and service! i've had 2 meals here. all plates are meant to be shared. this is the perfect place to go before a show at the pantages. it is within walking distance.,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-10,2023-09-17,Running Goose,"i can't say anything about the food because unfortunately, i didn't make it that far. we came in on a hot summer day and asked the owner/waiter if there was a fan or somewhere with a/c. his reaction was rude, apathetic, and snobby. if he would've answered empathetically we probably would have stayed, but the attitude definitely made us loose our appetite. i felt like he was doing a favor letting us sit at his restaurant. everyone in the restaurant looked like they were sitting in a sauna. for a nice expensive meal, i don't want to drip all over the table and be talked down to, thank you.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-05,2023-09-17,Running Goose,"phenomenal. came for brunch and all the food was amazing. the benedict comes with ham not sliced ham, chunks of ham. i thought it was actually pork belly. so, so good. the brioche toast was like a dessert. the house-made lemonade is perfect: fresh lemon flavor and not too sweet. service was great, and the outdoor seating area is great. if it were a hotter day, i could see it getting uncomfortably hot on the patio, and they could use some fans out there. highly recommend for brunch!","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-03,2023-09-17,Running Goose,"amazing food, my friends and i could not believe how great everything tasted. the service was exceptional and the restaurant itself is a cute hidden gem.","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-03,2023-09-17,Running Goose,"from walking in to walking out was phenomenal. exquisite dining experience, excellent service. the appetizer to dessert was fabulous. the ambience was serene. can't wait to go back!","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-03,2023-09-17,Running Goose,great little place in hollywood. the pictures of the duck confit on yelp sold me and i had to try it. so tasty and the purée was good as well. short rib was tasty. gambas was a first try for me. just the right amount of spice with the shrimp. and last the horchata crème brûlée ended the meal perfectly. would for sure go back and suggest this place to anyone going to the area. great family feel and the service was spot on. two thumbs up.,"1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
2,2023-09-02,2023-09-17,Running Goose,"wow!!!! the food is unique and delicious!!!! i went with my niece, we were both hungry, and ordered 2 corn tortillas, lamb chops, the farmers vegetable which was fried carrots and short ribs. every single dish was extraordinary in taste and texture. the best meal i can remember in a very long time, so different in taste. we were full and didn't have room for dessert, which also looked scrumptious!!!my only critique would be better curb appeal. when we walked in i thought maybe i'd made a mistake as the ambiance was lacking but the friendly staff and incredible food made that all a minor foot note. it wouldn't be costly to create an other worldly ambiance. just some faux leaf trellis panels attached to the wooden 1/2 walls that are throughout and maybe some big ceramic pots and some kind of creative hanging animal art descending from the ceiling. like hanging globe or wild birds from the ceiling. there's such a diverse culinary experience that creating an atmosphere that draws us in would make it all the more stellar. but stellar running goose is!!!!","1620 N Cahuenga Blvd Los Angeles, CA 90028",4.3,1701,"Gastropubs, Latin American",0.5333333333333332
3,2023-09-14,2023-09-17,Hangari Kalguksu,"highly recommend! this is the place for a filling bowl of knife cut noodles in koreatown. handmade noodles in broth with such depth in flavor, each slurp warms your soul and each bowl feels like a snug hug. perfect after a long day at work! also loved the barley rice appetizer, 3 types of kimchi, and tteokbokki (spicy rice cakes). very friendly service and cute interior decor.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-14,2023-09-17,Hangari Kalguksu,"always hits... such delicious comfort food and always a vibe inside. highly recommend the chicken kalguksu. portions are large so you can comfortably split with someone. sometimes there's a wait, but you get seated relatively quickly and food is always served efficiently. i've only ever gone at night, and parking is valet and $4.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-13,2023-09-17,Hangari Kalguksu,"fast line, nice servers, great lighting, yummy food! this place has the best bossam i've ever eaten. the food is just so delectable even though the price is a little bit much. but i believe the food and the service fits the price so that's why i'm giving it all the stars. the sauces and side dishes included gave the dishes a lot of flavor and we asked for extra bowls and stuff and the staff were very accommodating. definitely coming back here again if i get the chance!","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-10,2023-09-17,Hangari Kalguksu,"we came early on a sunday evening, and was able to beat the dinner rush with no wait. i really loved the open seating. the decor was pretty modern yet felt homey. i ordered the chicken kalguksu and was very surprised to see how big the portion was. i'd say it was very worth it at its price. the broth was light and easy to eat, while still being well seasoned. definitely a super comforting meal. the sides were also really good as well. service was swift but the attentiveness/care was a bit lacking. for starters, the menus were thrown onto the table as we were being seated. an alarming eyebrow raiser for sure. it also took awhile for someone to take notice of us. not a huge issue though. otherwise, would give a 5/5. i'd come here again to try the bossam.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-10,2023-09-17,Hangari Kalguksu,service is amazing and price is really reasonable. meat is really good and there are various options to choose. really recommended place in k-town!,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-10,2023-09-17,Hangari Kalguksu,omg!! tasted like my grandma's homemade kalguksoo!! my grandmother really loved kalguksoo and i wish i brought her to this place. she would have loved it! the chicken kalguksoo broth was so rich and they give you a whole chicken! their bossam was the best ever!! i dream of this place!!,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-10,2023-09-17,Hangari Kalguksu,"i went with a friend and getting two things was way too much, we definitely should have split one thing. but, we didn't regret it because it was really nice to try multiple things. the sujebi and the noodles were both perfectly cooked and chewy, and both soups had deep flavor and were so good. generous with the amount of clams and seafood too, which was nice! the ambiance definitely is more of a modern vibe than traditional korean spots, and service is good but there can be pretty decent lines at peak lunch hours, maybe 30 minutes or more (it really depends). overall, this place is so good and i love recommending it to others, but it has a good reputation anyway.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-06,2023-09-17,Hangari Kalguksu,the noodles in their kalguksu are the best i'm the area. the place is nice and very clean.,"3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-05,2023-09-17,Hangari Kalguksu,"one of the best spots in k-town -- i used to frequent this place once a week until the prices went through the roof circa covid-19.if you haven't tried the hand cut noodles in their kalguksu, you're missing out - opt for the clam based stew instead of the chicken.5/5 easily.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
3,2023-09-05,2023-09-17,Hangari Kalguksu,"best korean food i have had. service was very helpful and kind. while the restaurant was not huge, it was comfortable and neat.","3470 W 6th St Ste 9&10 Los Angeles, CA 90020",4.4,2557,"Korean, Noodles",0.6000000000000002
4,2023-09-16,2023-09-17,L'Antica Pizzeria Da Michele,i would definitely recommend this place. it has a great atmosphere. the owner is a very very nice person and i can't say enough about their food. whoever has not tried. this place. hass to give it a try at least once. guarantee you won't be dissatisfied.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-12,2023-09-17,L'Antica Pizzeria Da Michele,"everything was great! the ambience was amazing, good service and food was tasty. definitely recommend","1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-11,2023-09-17,L'Antica Pizzeria Da Michele,absolutely wonderful! we found this place last night and were able to book a reservation for 5. we were celebrating my partners birthday! the food was outstanding. very good quality and fair pricing for what it was worth. the service was also great! our waitress was very kind at attentive. the ambiance of the restaurant was also very comfortable and the lighting was beautiful! we will definitely be back!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-10,2023-09-17,L'Antica Pizzeria Da Michele,well let's start with the ambiance was pretty awesome we went for dinner last night but we didn't make a reservation since me and hubby didn't know that we need to make a reservation ahead; restaurant look pretty busy but not overcrowded; but as soon we walked in we were greeted by the hostess and we got our table right away by the bar area wich was great; after like five min our server came and offered drinks and i got just water and my buddy got some lemonade;later he came by to offer some appetizers wich we choose the zucchini flower wich we're like just ok and we later ordered the margarita pizza and the pesto with procciucuto and and after like ten min they all came out .food was just ok nothing special just a couple of thin crust and flavorless pizzas; definitely not going back and drive almost one hour just to eat that very expensive and tasteless food; i only put one star for the service that's all.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-09,2023-09-17,L'Antica Pizzeria Da Michele,the pizza and food is good but they pump the place full of glade air freshener... makes it hard to eat and breathe. unfortunately i doubt i will return based on the smell of glade air freshener alone. the piece of pie pizza was amazing though.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-08,2023-09-17,L'Antica Pizzeria Da Michele,fantastic pizza!made with italian flour imported so no uncomfortable feeling the next day!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-07,2023-09-17,L'Antica Pizzeria Da Michele,love this place! food has been great. back patio is wonderful. service has been good and it good depending on if they are super short which happened once recently. front patio seating had tons of flying bugs and some bees so that was not good but we def will be back but o love you to sit in back patio!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-07,2023-09-17,L'Antica Pizzeria Da Michele,"finally was able to make it here even though it was down the street from my place. the food was incredible, simple but tasteful. the ambiance was very chill and relaxed and i loved the indoor and outdoor option that they give you here. i will say i was obsessed with the pizza that we ordered. the prices were a bit more then i would have wanted to spend on a pizza but that's okay, its worth it for a special occasion. service to add to this was very straightforward and simple and she recommended all of the best things. i will definitely be back since it was a very lowkey but lovely place to eat.","1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-07,2023-09-17,L'Antica Pizzeria Da Michele,the place was kinda perfect! i have been looking for a good pizza and have been wanting to go back here. it's perhaps my favorite la pizza spot.the pizzas and the torta de la nonna were fantastic. i have been looking for a good pizza and have been wanting to go back here.,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
4,2023-09-06,2023-09-17,L'Antica Pizzeria Da Michele,the place was kinda perfect! nestled away just off sunset in old hollywood it was a charming oasis with incredible ambiance. the pizza was perfection (and since they use a double zero milled caputo wheat flour even the most gluten sensitive can eat without issue. the pasta is also made in-house and was superb!highly recommend!!,"1534 N Mccadden Pl Los Angeles, CA 90028",4.3,1957,"Pizza, Italian, Breakfast & Brunch",0.5333333333333332
5,2023-09-15,2023-09-17,Republique,the food quality is amazing. the interior was a bit drab...would expect more from the interior design. pricier than the average place but amazing food quality.,"624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-15,2023-09-17,Republique,the ambiance was fantastic. i have heard of this restaurant for the longest time with many friends offering their recommendations - so when my wife and i finally dined it was an experience that held up to its hype.,"624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-15,2023-09-17,Republique,"too crowdedvery hipster $$$$not worth the waitdon't like the seating, high stools, you better be over 5'5"" !","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-14,2023-09-17,Republique,"so many delicious options at this french-inspired brunch experience! the atmosphere is charming with a classic french ambiance, and the pastries are yum-my! the croissants are flaky and buttery, and the brunch menu offers a variety of savory and sweet options. it can get crowded, so be prepared for a wait. i recommend looking at the menu before arriving so that you could order quickly and find a seat.i definitely recommend the potato pancake (it's not a hash brown, it is literally a potato pancake), but i don't think you can go wrong with any menu item.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-14,2023-09-17,Republique,"i'm obsessed with this place!! the food is amazing, it's a gorgeous space and great ambiance. i always take out of town guests here. i've gotten the potato pancake and i think it's the best thing on the menu by far! my friend got the shashouka, and said it was good but the potato pancake is better. amazing place.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-13,2023-09-17,Republique,"there is almost always a line out the door and onto the sidewalk, and for good reason. the pastries are not only beautiful to look at but beautiful to eat. the restaurant itself is an inviting open space with fun lively staff. i would say the sit down food is alright--expensive for alright food.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-13,2023-09-17,Republique,"republique in los angeles is an exquisite culinary haven. the moment you step inside this grand bakery-restaurant, you're greeted by a tantalizing display of pastries and artisan bread. the menu features a fusion of french and american flavors, and each dish is a masterpiece. the ambiance, set in a historic building, exudes a charming and rustic elegance that adds to the dining experience. whether you're indulging in a fresh croissant for breakfast or savoring a gourmet dinner, republique consistently delivers an exceptional culinary journey. it's no wonder this restaurant has become an iconic destination for food enthusiasts in la.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2021-07-27,2023-09-17,Republique,nice brunch experience. there's no wow factor everything is very standard but still great food. love the vibe and interior design in the restaurant. very airy and bright.,"624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-12,2023-09-17,Republique,"great food! we ordered traditional breakfast, maine lobster omelette, avocado toast, kimchi fried rice and half baguette. everything we had was exceeded our expectations. huge thick cut of bacon in traditional breakfast. lobster omelette was luxurious and delicious. avocado toast was too pretty to cut into. kimchi fried rice was so tasty when you mix the two sunny side up eggs in. baguette with butter and jam brings back memories of paris!service was great. they fill the water, check on you even though the restaurant was busy.very relaxing atmosphere. beautiful place. you order your food at the counter and prepay. then find a table and they will bring the food to your table. there was a line but moving. we waited in line for about 20 minutes. parking was a bit hard. the area has some meter parking or free parking but very limited spaces. restaurant has valet parking but i didn't see the person.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-11,2023-09-17,Republique,"posting again because they took my review down. honestly i used to come here all the time for breakfast meetings and also dinners until i brought my parents for their birthday and there was an ""influencer"" / tourist sitting next to us. she literally recorded the entire meal. when my mom noticed we were being filmed and we asked the waitress to please ask the stranger to put her camera away they said no because we are in a public space. honestly how rude and gauche. i loved that republic was woman owned and took over the old la brea bakery but wow i have literally stopped going since this incident. wow. wow. wow.","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
5,2023-09-11,2023-09-17,Republique,"great food, venue, ambience and staff. the tiny downside is that it can be very busy at times. all in all, 5/5 for me. to quote schwrzenegger, 'i'll be back!'","624 S La Brea Ave Los Angeles, CA 90036",4.2,7038,"French, Breakfast & Brunch, Cocktail Bars",0.4666666666666668
6,2023-09-16,2023-09-17,HanEuem,discovered this new korean spot which is so gooood!! come with me.highlights of the menu:1. braised wagyu beef back ribs2. spicy marinated fresh raw crabs3. korean bbq lateral cut angus beef short rib4. kimchi stew5. white rice with beans,"539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-09-16,2023-09-17,HanEuem,"i've had a lot of korean food but nothing beats this place. every single meal we ordered was phenomenal, service was top notch and the server's had wonderful recommendations that complimented our orders even better. we loved all of their spicy food and will 100% be back to try even more. 10/10 would eat again.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-09-16,2023-09-17,HanEuem,haneuem is a tasty korean restaurant/gastrointestinal where you can find big platters of delicious korean foods while grabbing some beer or soju. i came by on a friday night and place was busy but generally 1-2 tables open so we were able to get seated quickly.the pork belly and octopus is a satisfying dish that's well cooked with covered with a gouchujang sauce laid on top of onion. goes well with a drink and a side of rice (they only have purple rice here). the seafood pancake was fantastic - good fillings and the batter was seasoned well and i loved the crumbly flaky texture on the outside.service was solid. decent ambient though if there's a loud party the sound carry.valet parking or street. or h mart,"539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-09-13,2023-09-17,HanEuem,"the restaurant has valet at a reasonable price of only $4. my date made. our reservation for 6pm and they seated had right away. the waiters know their menu very well and are very strive and patient. the food is a whole experience! i don't think there was anything i didn't like. the ambience there is low light , intimate , tables are small, the restaurant itself is very small but they do have a table for a larger party.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-09-11,2023-09-17,HanEuem,"their spicy galbi stew is awesome. i could not help stop eating it even i was really full. their spicy marinated raw crab is very tasty but its too spicy i could not handle more than 2 pieces. we wanted to try all different kind of jeons, we asked to a server if we order mixed combination things it comes with little bit of all different jeons include seafood green onion pancake. he told us yes. but it did not come with that item. :(i still can give 5 stars cuz their spicy galbi stew is the best i ever had. better than s_n_dan place.i will come back here for that stew!! thank you! it was great!","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-08-29,2023-09-17,HanEuem,"went here with a friend who had never eaten korean food before. we got a seafood pancake and the mackerel. both were delicious. the mackerel was cooked well but a bit plain - i didn't want to get anything too crazy or spicy since my friend and i were sharing. the decor is lovely, it was packed full of korean families. service was timely and efficient. wish i could eat here one more time while i still live in ktown, but i'll have to make a drive and fight for parking next time. absolutely recommend, great place to take visitors or people new to korean food.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-08-28,2023-09-17,HanEuem,"after stumbling upon this place on tiktok, i simply had to give it a try - and let me tell you, it went beyond my expectations. the staff was exceptionally kind and attentive, creating an ambiance that felt like a home away from home. among the highlights, the wagyu ribs stole the show for me. their tenderness and exquisite flavor were nothing short of incredible. as for my girlfriend, she opted for the raw spicy marinated crab. while it leaned more toward the spicy side for us, the flavors were undeniably vibrant.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-08-25,2023-09-17,HanEuem,"visited for a late lunch and had a mixed experience with both the food and service. our order included the spicy raw crab, braised beef short ribs with cheese, and beer.starting with the positives, the banchan assortment was delightful. i particularly enjoyed the spicy raw crab, although it was a touch too sauced. it paired well with rice. however, the braised beef short ribs left me disappointed.the first piece i picked up was a rice cake. just before taking a bite, i noticed a faint sour smell. despite that, i proceeded, finding the taste alright. eventually, i realized the odor originated from the melted cheese topping. unfortunately, the cheese had gone bad, casting a negative shadow over the dish and affecting my overall meal experience.though the staff was friendly, their lack of attentiveness was noticeable. there was no check-in during the meal, despite our wish for banchan refills, water, and an additional beer. we even had to signal for assistance to order more rice, which should ideally be a standard accompaniment. additionally, the rice served was dense and lacked fluffiness, further diminishing the experience.it would have been appreciated if the staff inquired about our meal satisfaction, but they were rather quick to present the bill and depart. hoping for a more well-rounded experience next time.","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-08-20,2023-09-17,HanEuem,"comfort korean food in ktown!came here on the weekend at around 6:30 and only waited for 15 minutes before getting seated. however after us, we saw parties waiting like 30 minutes for a table. the staff are so friendly and quick, we would ask for something and they would quickly give it.the food was good too and price was reasonable. my friend and i were obsessed with the banchan here and ate all of our banchan with nothing left over. we had the kimchi pancake which was cooked with perfect crispyness and softness and the kimchi stew which also came with free servings of rice. the stew was ok but the pancake really stood out for us, try it!","539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
6,2023-08-18,2023-09-17,HanEuem,people are incredibly kind. the food is amazing. a real gem in los angeles for korean food. the food is noticeably made with care. may god's peace be on this place. thank you!!!,"539 S Western Ave Los Angeles, CA 90020",4.4,233,"Korean, Comfort Food, Gastropubs",0.6000000000000002
7,2023-09-15,2023-09-17,Met Him At A Bar,"a cute date spot that i can always really on. the wait staff is alwys very friendly and the cocktails are bright and fresh. it's mostly pasta and pizza here, but both are done very well. i had the heirloom tomato salad (very fresh), nonna's meatballs ( the sauce is :chef's kiss:) and the puttanesca (tasty and spicy). i've had the squid ink frutti di mare on a previous visit, and can highly recommend.","801 S La Brea Los Angeles, CA 90036",4.3,653,"Italian, Cocktail Bars",0.5333333333333332
7,2023-09-14,2023-09-17,Met Him At A Bar,i'm giving the two stars because the guy as the host up front was super nice and kept a conversation going with us which was sweet! the service from the lady was horrible. very nice to other people around us but just didn't like us for some reason. you know when someone thinks you can't pay the bill or even treat you with bad service because of your skin color? that's how we felt and yes i did pay $93.62 for our food !! my sister enjoyed her alfredo pasta with shrimps but i will not recommend this restaurant to people !!,"801 S La Brea Los Angeles, CA 90036",4.3,653,"Italian, Cocktail Bars",0.5333333333333332
7,2023-09-14,2023-09-17,Met Him At A Bar,one of the best italian foods i've had specially for the price. the staff are great they are friendly and do have great recommendations. the bruschetta was amazing tasted really fresh as well. the carbonara done to perfection and good portions. the restaurant itself is still having on going renovations but is very nice inside. i have gotten the chance to sit inside and outside and would recommend inside during the day and night during the night specially on a date.,"801 S La Brea Los Angeles, CA 90036",4.3,653,"Italian, Cocktail Bars",0.5333333333333332
